,Date,Market,Branch,Product,Return,Payment,Product and Return
353,2023-02-15,эфэс,зайсан,374400,,"374,400.00",374400
354,2023-02-15,эфэс,Морьтон,561600,43200,"518,400.00",604800
355,2023-02-16,эфэс,13,388800,,"388,800.00",388800
356,2023-02-17,эфэс,Алтай хотхон,489600,144000,"345,600.00",633600
357,2023-02-19,эфэс,Морьтон,316800,,"316,800.00",316800
358,2023-03-02,эфэс,Морьтон,417600,0,"417,600.00",417600
359,2023-03-03,эфэс,зайсан,518400,28800,"489,600.00",547200
360,2023-03-04,эфэс,13,489600,100800,"388,800.00",590400
361,2023-03-10,эфэс,Морьтон,604800,28800,"576,000.00",633600
362,2023-03-10,эфэс,зайсан,,57600,"-57,600.00",57600
363,2023-03-11,эфэс,зайсан,547200,,"547,200.00",547200
364,2023-03-11,эфэс,Алтай хотхон,187200,,"187,200.00",187200
365,2023-03-16,эфэс,Морьтон,388800,,"388,800.00",388800
366,2023-03-18,эфэс,зайсан,388800,57600,"331,200.00",446400
367,2023-03-18,эфэс,13 бөх.өргөө,,57600,"-57,600.00",57600
368,2023-03-20,эфэс,13,518400,115200,"403,200.00",633600
369,2023-03-22,эфэс,Морьтон,460800,,"460,800.00",460800
370,2023-03-22,эфэс,зайсан,467202,28800,"438,402.00",496002
371,2023-03-25,эфэс,Алтай хотхон,662400,57600,"604,800.00",720000
372,2023-03-27,эфэс,13 бөх.өргөө,835200,57600,"777,600.00",892800
373,2023-03-30,эфэс,Морьтон,489600,28800,"460,800.00",518400
374,2023-03-31,эфэс,зайсан,417600,57600,"360,000.00",475200
375,2023-04-06,эфэс,13 бөх.өргөө,720000,28800,,748800
376,2023-04-07,эфэс,зайсан,720000,57600,,777600
377,2023-04-07,эфэс,Морьтон,244800,,,244800
378,2023-04-10,эфэс,Алтай хотхон,302400,,,302400
379,2023-04-14,эфэс,зайсан,345600,,,345600
380,2023-04-14,эфэс,Морьтон,172800,,,172800
381,2023-04-19,эфэс,Алтай хотхон,576000,28800,,604800
382,2023-04-20,эфэс,зайсан,576000,86400,,662400
383,2023-04-20,эфэс,13 бөх.өргөө,835200,14400,,849600
384,2023-04-21,эфэс,Морьтон,604800,,,604800
385,2023-04-27,эфэс,зайсан,403200,57600,,460800
386,2023-04-27,эфэс,13 бөх.өргөө,331200,57600,,388800
387,2023-04-28,эфэс,Алтай хотхон,374400,,,374400
388,2023-04-28,эфэс,Морьтон,259200,,,259200
389,2023-01-04,цэлмүүн,түшээ,619200,94240,"524,960.00",713440
390,2023-01-09,цэлмүүн,түшээ,705600,,"705,600.00",705600
391,2023-01-13,цэлмүүн,түшээ,115200,28800,"86,400.00",144000
392,2023-01-18,цэлмүүн,түшээ,528800,,"528,800.00",528800
393,2023-01-21,цэлмүүн,түшээ,201600,,"201,600.00",201600
394,2023-01-27,цэлмүүн,түшээ,576000,,"576,000.00",576000
395,2023-02-03,цэлмүүн,түшээ,369120,14400,"354,720.00",383520
396,2023-02-08,цэлмүүн,түшээ,230400,14400,"216,000.00",244800
397,2023-02-11,цэлмүүн,түшээ,374400,14400,"360,000.00",388800
398,2023-02-20,цэлмүүн,түшээ,460800,,"460,800.00",460800
399,2023-03-02,цэлмүүн,түшээ,244800,14400,"230,400.00",259200
